Trial,Pump Rate,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,1.05,121.0,3.03,4.04,4.04,100,1,1,1,0
2,1.05,127.0,2.02,2.02,2.02,3.03,1,1,1,1
3,1.05,127.0,2.02,2.02,2.02,2.02,1,1,1,1
4,1.05,125.0,2.02,2.02,2.02,3.03,1,1,1,1
5,1.05,120.0,2.02,3.03,3.03,100,1,1,1,0
6,1.05,125.0,3.03,4.04,4.04,5.050000000000001,1,1,1,1
7,1.05,118.0,4.04,4.04,5.050000000000001,100,1,1,1,0
8,1.05,121.0,3.03,5.050000000000001,5.050000000000001,100,1,1,1,0
9,1.05,125.0,3.03,4.04,4.04,19.19,1,1,1,1
10,1.05,127.0,3.03,3.03,4.04,10.100000000000001,1,1,1,1
11,1.05,115.0,8.08,21.21,100,100,1,1,0,0
12,1.05,126.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
13,1.05,127.0,4.04,6.06,8.08,11.11,1,1,1,1
14,1.05,117.0,3.03,3.03,5.050000000000001,100,1,1,1,0
15,1.05,124.0,2.02,3.03,3.03,3.03,1,1,1,1
16,1.05,118.0,12.12,37.37,43.43,100,1,1,1,0
17,1.05,116.0,3.03,5.050000000000001,100,100,1,1,0,0
18,1.05,126.0,9.09,10.100000000000001,11.11,13.13,1,1,1,1
19,1.05,127.0,2.02,3.03,3.03,3.03,1,1,1,1
20,1.05,127.0,2.02,3.03,3.03,3.03,1,1,1,1
21,1.05,116.0,3.03,5.050000000000001,100,100,1,1,0,0
22,1.05,118.0,3.03,3.03,3.03,100,1,1,1,0
23,1.05,127.0,2.02,2.02,3.03,3.03,1,1,1,1
24,1.05,125.0,2.02,2.02,2.02,2.02,1,1,1,1
25,1.05,114.0,3.03,100,100,100,1,0,0,0
26,1.05,127.0,2.02,2.02,2.02,3.03,1,1,1,1
27,1.05,111.0,21.21,100,100,100,1,0,0,0
28,1.05,127.0,3.03,3.03,3.03,6.06,1,1,1,1
29,1.05,120.0,3.03,3.03,4.04,100,1,1,1,0
30,1.05,126.0,2.02,2.02,2.02,2.02,1,1,1,1
31,1.05,120.0,3.03,5.050000000000001,5.050000000000001,100,1,1,1,0
32,1.05,127.0,3.03,3.03,3.03,3.03,1,1,1,1
33,1.05,127.0,2.02,2.02,2.02,3.03,1,1,1,1
