Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.001,114.0,3.03,100,100,100,1,0,0,0
2,0.001,118.0,2.02,3.03,4.04,100,1,1,1,0
3,0.001,125.0,2.02,2.02,3.03,4.04,1,1,1,1
4,0.001,122.0,2.02,2.02,3.03,100,1,1,1,0
5,0.001,124.0,1.01,2.02,2.02,26.26,1,1,1,1
6,0.001,120.0,2.02,2.02,3.03,100,1,1,1,0
7,0.001,119.0,2.02,4.04,5.050000000000001,100,1,1,1,0
8,0.001,123.0,3.03,5.050000000000001,5.050000000000001,9.09,1,1,1,1
9,0.001,118.0,7.07,10.100000000000001,10.100000000000001,100,1,1,1,0
10,0.001,121.0,2.02,2.02,2.02,100,1,1,1,0
11,0.001,116.0,4.04,6.06,100,100,1,1,0,0
12,0.001,116.0,3.03,5.050000000000001,100,100,1,1,0,0
13,0.001,120.0,2.02,2.02,2.02,100,1,1,1,0
14,0.001,122.0,2.02,2.02,3.03,100,1,1,1,0
15,0.001,114.0,3.03,100,100,100,1,0,0,0
16,0.001,118.0,3.03,4.04,6.06,100,1,1,1,0
17,0.001,119.0,3.03,4.04,5.050000000000001,100,1,1,1,0
18,0.001,111.0,100,100,100,100,0,0,0,0
19,0.001,119.0,2.02,3.03,3.03,100,1,1,1,0
20,0.001,119.0,2.02,2.02,3.03,100,1,1,1,0
21,0.001,110.0,100,100,100,100,0,0,0,0
22,0.001,122.0,2.02,2.02,2.02,100,1,1,1,0
23,0.001,119.0,2.02,2.02,2.02,100,1,1,1,0
24,0.001,111.0,100,100,100,100,0,0,0,0
25,0.001,117.0,2.02,8.08,100,100,1,1,0,0
26,0.001,115.0,4.04,100,100,100,1,0,0,0
27,0.001,119.0,2.02,3.03,4.04,100,1,1,1,0
28,0.001,118.0,3.03,7.07,9.09,100,1,1,1,0
29,0.001,120.0,2.02,5.050000000000001,7.07,100,1,1,1,0
30,0.001,119.0,6.06,10.100000000000001,11.11,100,1,1,1,0
31,0.001,118.0,8.08,26.26,28.28,100,1,1,1,0
32,0.001,120.0,2.02,2.02,4.04,100,1,1,1,0
33,0.001,120.0,2.02,3.03,5.050000000000001,100,1,1,1,0
34,0.001,111.0,100,100,100,100,0,0,0,0
35,0.001,125.0,1.01,2.02,2.02,2.02,1,1,1,1
36,0.001,119.0,2.02,4.04,6.06,100,1,1,1,0
37,0.001,119.0,3.03,3.03,14.14,100,1,1,1,0
38,0.001,118.0,2.02,4.04,6.06,100,1,1,1,0
39,0.001,114.0,2.02,100,100,100,1,0,0,0
40,0.001,120.0,2.02,2.02,2.02,100,1,1,1,0
41,0.001,116.0,2.02,10.100000000000001,100,100,1,1,0,0
42,0.001,125.0,2.02,2.02,2.02,3.03,1,1,1,1
43,0.001,120.0,2.02,4.04,5.050000000000001,100,1,1,1,0
44,0.001,120.0,2.02,2.02,2.02,100,1,1,1,0
45,0.001,122.0,3.03,5.050000000000001,15.149999999999999,100,1,1,1,0
46,0.001,123.0,2.02,3.03,3.03,6.06,1,1,1,1
47,0.001,112.0,4.04,100,100,100,1,0,0,0
48,0.001,120.0,3.03,4.04,4.04,100,1,1,1,0
49,0.001,110.0,100,100,100,100,0,0,0,0
50,0.001,125.0,3.03,4.04,5.050000000000001,11.11,1,1,1,1
51,0.001,120.0,2.02,2.02,2.02,100,1,1,1,0
52,0.001,121.0,2.02,2.02,2.02,100,1,1,1,0
53,0.001,124.0,2.02,3.03,4.04,9.09,1,1,1,1
54,0.001,112.0,4.04,100,100,100,1,0,0,0
55,0.001,122.0,2.02,2.02,7.07,100,1,1,1,0
56,0.001,115.0,2.02,100,100,100,1,0,0,0
57,0.001,124.0,2.02,3.03,5.050000000000001,13.13,1,1,1,1
58,0.001,124.0,2.02,2.02,2.02,3.03,1,1,1,1
59,0.001,123.0,1.01,1.01,2.02,3.03,1,1,1,1
60,0.001,120.0,2.02,3.03,3.03,100,1,1,1,0
61,0.001,122.0,2.02,2.02,2.02,100,1,1,1,0
62,0.001,112.0,7.07,100,100,100,1,0,0,0
63,0.001,121.0,3.03,4.04,5.050000000000001,100,1,1,1,0
64,0.001,121.0,2.02,2.02,2.02,100,1,1,1,0
65,0.001,121.0,1.01,2.02,2.02,100,1,1,1,0
66,0.001,121.0,1.01,2.02,2.02,100,1,1,1,0
67,0.001,122.0,2.02,3.03,3.03,100,1,1,1,0
68,0.001,121.0,2.02,2.02,2.02,100,1,1,1,0
69,0.001,118.0,3.03,4.04,5.050000000000001,100,1,1,1,0
70,0.001,124.0,2.02,2.02,2.02,3.03,1,1,1,1
71,0.001,114.0,3.03,100,100,100,1,0,0,0
72,0.001,119.0,3.03,7.07,9.09,100,1,1,1,0
73,0.001,122.0,2.02,2.02,3.03,100,1,1,1,0
74,0.001,118.0,2.02,4.04,6.06,100,1,1,1,0
75,0.001,111.0,100,100,100,100,0,0,0,0
76,0.001,118.0,3.03,5.050000000000001,7.07,100,1,1,1,0
77,0.001,115.0,2.02,100,100,100,1,0,0,0
78,0.001,118.0,2.02,2.02,4.04,100,1,1,1,0
79,0.001,127.0,2.02,2.02,2.02,3.03,1,1,1,1
80,0.001,124.0,2.02,2.02,2.02,4.04,1,1,1,1
81,0.001,120.0,2.02,2.02,3.03,100,1,1,1,0
82,0.001,118.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
83,0.001,111.0,100,100,100,100,0,0,0,0
84,0.001,111.0,100,100,100,100,0,0,0,0
85,0.001,111.0,100,100,100,100,0,0,0,0
86,0.001,119.0,2.02,4.04,4.04,100,1,1,1,0
87,0.001,118.0,11.11,16.16,17.17,100,1,1,1,0
88,0.001,116.0,3.03,5.050000000000001,100,100,1,1,0,0
89,0.001,121.0,2.02,2.02,5.050000000000001,100,1,1,1,0
90,0.001,121.0,2.02,2.02,3.03,100,1,1,1,0
91,0.001,119.0,2.02,3.03,4.04,100,1,1,1,0
92,0.001,122.0,2.02,2.02,2.02,100,1,1,1,0
93,0.001,118.0,2.02,9.09,18.18,100,1,1,1,0
94,0.001,119.0,3.03,3.03,4.04,100,1,1,1,0
