Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0003,119.0,10.100000000000001,14.14,17.17,100,1,1,1,0
2,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
3,0.0003,117.0,2.02,2.02,4.04,100,1,1,1,0
4,0.0003,123.0,2.02,2.02,3.03,3.03,1,1,1,1
5,0.0003,124.0,2.02,2.02,3.03,4.04,1,1,1,1
6,0.0003,127.0,2.02,2.02,2.02,4.04,1,1,1,1
7,0.0003,120.0,6.06,16.16,17.17,100,1,1,1,0
8,0.0003,127.0,2.02,2.02,2.02,3.03,1,1,1,1
9,0.0003,123.0,4.04,4.04,6.06,9.09,1,1,1,1
10,0.0003,125.0,2.02,3.03,3.03,5.050000000000001,1,1,1,1
11,0.0003,125.0,2.02,3.03,3.03,8.08,1,1,1,1
12,0.0003,126.0,2.02,2.02,2.02,3.03,1,1,1,1
13,0.0003,125.0,2.02,2.02,3.03,5.050000000000001,1,1,1,1
14,0.0003,125.0,2.02,2.02,2.02,3.03,1,1,1,1
15,0.0003,107.0,100,100,100,100,0,0,0,0
16,0.0003,125.0,2.02,2.02,2.02,3.03,1,1,1,1
17,0.0003,127.0,2.02,2.02,2.02,3.03,1,1,1,1
18,0.0003,114.0,4.04,100,100,100,1,0,0,0
19,0.0003,112.0,31.31,100,100,100,1,0,0,0
20,0.0003,127.0,2.02,2.02,3.03,3.03,1,1,1,1
21,0.0003,126.0,3.03,4.04,6.06,9.09,1,1,1,1
22,0.0003,126.0,2.02,2.02,2.02,2.02,1,1,1,1
23,0.0003,126.0,1.01,1.01,2.02,2.02,1,1,1,1
24,0.0003,115.0,3.03,3.03,100,100,1,1,0,0
25,0.0003,125.0,3.03,3.03,3.03,3.03,1,1,1,1
26,0.0003,127.0,5.050000000000001,8.08,10.100000000000001,18.18,1,1,1,1
27,0.0003,115.0,2.02,3.03,100,100,1,1,0,0
28,0.0003,127.0,3.03,4.04,4.04,6.06,1,1,1,1
29,0.0003,123.0,3.03,4.04,4.04,4.04,1,1,1,1
30,0.0003,116.0,2.02,3.03,100,100,1,1,0,0
31,0.0003,127.0,3.03,4.04,6.06,8.08,1,1,1,1
32,0.0003,127.0,2.02,2.02,2.02,3.03,1,1,1,1
33,0.0003,127.0,2.02,3.03,3.03,4.04,1,1,1,1
34,0.0003,120.0,7.07,11.11,14.14,100,1,1,1,0
35,0.0003,127.0,2.02,2.02,2.02,4.04,1,1,1,1
36,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
37,0.0003,125.0,2.02,4.04,13.13,38.38,1,1,1,1
38,0.0003,110.0,100,100,100,100,0,0,0,0
39,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
40,0.0003,120.0,5.050000000000001,32.32,33.33,100,1,1,1,0
41,0.0003,126.0,2.02,3.03,4.04,10.100000000000001,1,1,1,1
42,0.0003,117.0,3.03,5.050000000000001,21.21,100,1,1,1,0
43,0.0003,127.0,2.02,2.02,3.03,3.03,1,1,1,1
44,0.0003,126.0,2.02,2.02,3.03,3.03,1,1,1,1
45,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
46,0.0003,120.0,2.02,2.02,4.04,100,1,1,1,0
47,0.0003,121.0,2.02,2.02,2.02,100,1,1,1,0
48,0.0003,124.0,3.03,5.050000000000001,5.050000000000001,22.22,1,1,1,1
49,0.0003,127.0,3.03,3.03,3.03,3.03,1,1,1,1
50,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
51,0.0003,127.0,2.02,2.02,3.03,4.04,1,1,1,1
52,0.0003,127.0,1.01,1.01,2.02,3.03,1,1,1,1
53,0.0003,127.0,3.03,3.03,3.03,4.04,1,1,1,1
54,0.0003,125.0,2.02,2.02,2.02,5.050000000000001,1,1,1,1
55,0.0003,118.0,2.02,4.04,12.12,100,1,1,1,0
56,0.0003,127.0,2.02,2.02,3.03,4.04,1,1,1,1
57,0.0003,127.0,2.02,3.03,6.06,7.07,1,1,1,1
58,0.0003,127.0,2.02,2.02,2.02,3.03,1,1,1,1
59,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
60,0.0003,125.0,2.02,2.02,2.02,3.03,1,1,1,1
61,0.0003,125.0,2.02,2.02,3.03,10.100000000000001,1,1,1,1
62,0.0003,125.0,2.02,3.03,3.03,3.03,1,1,1,1
63,0.0003,125.0,2.02,2.02,2.02,3.03,1,1,1,1
64,0.0003,117.0,3.03,4.04,10.100000000000001,100,1,1,1,0
65,0.0003,115.0,38.38,40.400000000000006,100,100,1,1,0,0
66,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
67,0.0003,121.0,2.02,2.02,2.02,100,1,1,1,0
68,0.0003,125.0,2.02,2.02,2.02,3.03,1,1,1,1
69,0.0003,127.0,1.01,2.02,2.02,2.02,1,1,1,1
70,0.0003,124.0,2.02,3.03,3.03,7.07,1,1,1,1
71,0.0003,126.0,2.02,2.02,2.02,3.03,1,1,1,1
72,0.0003,127.0,2.02,2.02,2.02,3.03,1,1,1,1
73,0.0003,127.0,3.03,3.03,3.03,5.050000000000001,1,1,1,1
74,0.0003,120.0,3.03,4.04,5.050000000000001,100,1,1,1,0
75,0.0003,125.0,2.02,2.02,2.02,3.03,1,1,1,1
76,0.0003,127.0,2.02,2.02,2.02,2.02,1,1,1,1
77,0.0003,126.0,1.01,2.02,2.02,2.02,1,1,1,1
78,0.0003,119.0,3.03,5.050000000000001,8.08,100,1,1,1,0
