Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0003,60.0,100,100,100,100,0,0,0,0
2,0.0003,65.0,2.02,2.02,24.24,100,1,1,1,0
3,0.0003,67.0,2.02,2.02,3.03,100,1,1,1,0
4,0.0003,59.0,100,100,100,100,0,0,0,0
5,0.0003,65.0,2.02,3.03,10.100000000000001,100,1,1,1,0
6,0.0003,59.0,100,100,100,100,0,0,0,0
7,0.0003,69.0,2.02,2.02,2.02,2.02,1,1,1,1
8,0.0003,66.0,3.03,4.04,9.09,100,1,1,1,0
9,0.0003,69.0,2.02,3.03,8.08,8.08,1,1,1,1
10,0.0003,67.0,2.02,2.02,2.02,100,1,1,1,0
11,0.0003,59.0,100,100,100,100,0,0,0,0
12,0.0003,65.0,15.149999999999999,26.26,29.29,100,1,1,1,0
13,0.0003,65.0,2.02,2.02,24.24,100,1,1,1,0
14,0.0003,64.0,3.03,8.08,100,100,1,1,0,0
15,0.0003,69.0,3.03,3.03,3.03,4.04,1,1,1,1
16,0.0003,66.0,3.03,3.03,3.03,100,1,1,1,0
17,0.0003,65.0,2.02,3.03,25.25,100,1,1,1,0
18,0.0003,65.0,2.02,2.02,23.23,100,1,1,1,0
19,0.0003,68.0,2.02,3.03,3.03,10.100000000000001,1,1,1,1
20,0.0003,65.0,2.02,4.04,24.24,100,1,1,1,0
21,0.0003,67.0,2.02,2.02,2.02,100,1,1,1,0
22,0.0003,63.0,2.02,2.02,100,100,1,1,0,0
23,0.0003,63.0,5.050000000000001,6.06,100,100,1,1,0,0
24,0.0003,66.0,3.03,6.06,13.13,100,1,1,1,0
25,0.0003,68.0,6.06,7.07,7.07,16.16,1,1,1,1
26,0.0003,67.0,2.02,3.03,8.08,100,1,1,1,0
27,0.0003,57.0,100,100,100,100,0,0,0,0
28,0.0003,66.0,2.02,2.02,10.100000000000001,100,1,1,1,0
29,0.0003,70.0,2.02,2.02,2.02,2.02,1,1,1,1
30,0.0003,65.0,2.02,3.03,25.25,100,1,1,1,0
31,0.0003,70.0,2.02,3.03,3.03,5.050000000000001,1,1,1,1
32,0.0003,64.0,2.02,2.02,100,100,1,1,0,0
33,0.0003,70.0,2.02,2.02,2.02,2.02,1,1,1,1
34,0.0003,62.0,2.02,100,100,100,1,0,0,0
35,0.0003,66.0,2.02,2.02,3.03,100,1,1,1,0
36,0.0003,63.0,4.04,6.06,100,100,1,1,0,0
37,0.0003,65.0,2.02,3.03,17.17,100,1,1,1,0
38,0.0003,66.0,3.03,5.050000000000001,8.08,100,1,1,1,0
39,0.0003,67.0,3.03,5.050000000000001,10.100000000000001,100,1,1,1,0
40,0.0003,70.0,3.03,3.03,3.03,4.04,1,1,1,1
41,0.0003,68.0,3.03,3.03,24.24,27.270000000000003,1,1,1,1
42,0.0003,67.0,2.02,2.02,3.03,100,1,1,1,0
43,0.0003,67.0,3.03,4.04,5.050000000000001,100,1,1,1,0
44,0.0003,68.0,2.02,2.02,3.03,11.11,1,1,1,1
45,0.0003,68.0,33.33,34.34,35.35,43.43,1,1,1,1
46,0.0003,65.0,2.02,3.03,13.13,100,1,1,1,0
47,0.0003,68.0,1.01,2.02,2.02,7.07,1,1,1,1
48,0.0003,67.0,3.03,28.28,47.470000000000006,100,1,1,1,0
49,0.0003,67.0,3.03,3.03,3.03,100,1,1,1,0
50,0.0003,69.0,2.02,2.02,2.02,2.02,1,1,1,1
51,0.0003,70.0,2.02,2.02,2.02,3.03,1,1,1,1
52,0.0003,61.0,8.08,100,100,100,1,0,0,0
53,0.0003,68.0,2.02,2.02,2.02,3.03,1,1,1,1
54,0.0003,66.0,10.100000000000001,12.12,12.12,100,1,1,1,0
55,0.0003,70.0,2.02,2.02,6.06,8.08,1,1,1,1
56,0.0003,62.0,3.03,100,100,100,1,0,0,0
57,0.0003,66.0,2.02,3.03,4.04,100,1,1,1,0
58,0.0003,70.0,3.03,4.04,5.050000000000001,5.050000000000001,1,1,1,1
59,0.0003,65.0,3.03,5.050000000000001,50.5,100,1,1,1,0
60,0.0003,60.0,100,100,100,100,0,0,0,0
61,0.0003,67.0,2.02,3.03,3.03,100,1,1,1,0
62,0.0003,68.0,2.02,3.03,3.03,9.09,1,1,1,1
63,0.0003,66.0,2.02,3.03,3.03,100,1,1,1,0
64,0.0003,66.0,4.04,4.04,6.06,100,1,1,1,0
65,0.0003,64.0,2.02,3.03,100,100,1,1,0,0
66,0.0003,66.0,2.02,2.02,2.02,100,1,1,1,0
67,0.0003,68.0,2.02,2.02,2.02,10.100000000000001,1,1,1,1
68,0.0003,65.0,3.03,6.06,15.149999999999999,100,1,1,1,0
69,0.0003,62.0,3.03,100,100,100,1,0,0,0
70,0.0003,64.0,3.03,3.03,100,100,1,1,0,0
71,0.0003,67.0,2.02,2.02,2.02,100,1,1,1,0
72,0.0003,66.0,19.19,19.19,19.19,100,1,1,1,0
